DateTime;RunningJobCount
01.10.2024 12:01:00;0
01.10.2024 12:02:00;7
01.10.2024 12:03:00;9
01.10.2024 12:04:00;9
01.10.2024 12:05:00;9
01.10.2024 12:06:00;9
01.10.2024 12:07:00;9
01.10.2024 12:08:00;9
01.10.2024 12:09:00;8
01.10.2024 12:10:00;8
01.10.2024 12:11:00;8
01.10.2024 12:12:00;8
01.10.2024 12:13:00;8
01.10.2024 12:14:00;8
01.10.2024 12:15:00;8
01.10.2024 12:16:00;8
01.10.2024 12:17:00;8
01.10.2024 12:18:00;8
01.10.2024 12:19:00;8
01.10.2024 12:20:00;8
01.10.2024 12:21:00;7
01.10.2024 12:22:00;7
