JobName;StartTime;ReportReadyTime;UniqueJTCount;JTsToDownloadCount;JTDownloadErrorCount;JTDownloadCompleteTime;EndTime
AS_C117_FC_L;01.10.2024 12:02:00;01.10.2024 12:17:11;10651;0;-;01.10.2024 12:22:53;01.10.2024 12:22:54
AS_C117_FC_R;01.10.2024 12:02:00;01.10.2024 12:17:13;10565;0;-;01.10.2024 12:22:51;01.10.2024 12:22:52
AS_C117_FV_L;01.10.2024 12:02:00;01.10.2024 12:17:12;10753;0;-;01.10.2024 12:22:56;01.10.2024 12:22:57
AS_C117_FV_R;01.10.2024 12:02:01;01.10.2024 12:17:13;10668;0;-;01.10.2024 12:22:54;01.10.2024 12:22:55
AS_C117_FX_L;01.10.2024 12:02:00;01.10.2024 12:17:12;10506;0;-;01.10.2024 12:22:51;01.10.2024 12:22:52
AS_C117_FX_R;01.10.2024 12:01:59;01.10.2024 12:17:10;10438;0;-;01.10.2024 12:22:50;01.10.2024 12:22:51
AS_D6569_M29_L;01.10.2024 12:01:59;01.10.2024 12:07:08;5522;0;-;01.10.2024 12:08:17;01.10.2024 12:08:18
AS_D6569_M29_R;01.10.2024 12:02:02;01.10.2024 12:17:11;5616;0;-;01.10.2024 12:20:49;01.10.2024 12:20:50
